NAME,ETHNICITY,SEX,LOC,ETHNICITY_RECAT,ETHNICITY_RECAT_V2,ETHNICITY_RECAT_V3,ETHNICITY_RECAT_V4
Lulka Stapchuk,en,Male,"J, Lunenburg, Nova Scotia, Canada",en,en,en,en
Archie Mckechnie,en,Male,"B, York, New Brunswick, Canada",en,en,en,en
Maxine Bèrnard,ab,Female,"D, Ottawa (city/cité), Ontario, Canada",ab,metis,metis,metis
Joseph Dumond,ir,Female,"E, New Westminster, British Columbia, Canada",ir,ir,ir,ir
Edwin T S Brodie,others,Male,"F, Cumberland, Nova Scotia, Canada",others,others,others,others
Nikola Stadnik,ja,Female,"E, Québec (city/cité) (centre), Quebec, Canada",ja,ja,ja,ja
Clementine Vigneault,ja,Female,"I, Compton, Quebec, Canada",ja,ja,ja,ja
Eliza Gauthier,it,Male,"G, Perth (north/nord), Ontario, Canada",it,it,it,it
Gilbert Achaubault,ab,Male,"A, Brant (south/sud), Ontario, Canada",ab,fn,fn,fn
Amelia Fletcher,it,Male,"E, Ottawa (city/cité), Ontario, Canada",it,it,it,it
Gordon Smith,sc,Male,"C, Waterloo (south/sud), Ontario, Canada",sc,sc,sc,sc
William Wilson,others,Male,"C, Carleton, New Brunswick, Canada",others,others,others,others
Viola Fromm,ch,Female,"A, Montréal (city/cité), Quebec, Canada",ch,ch,ch,ch
Eva G Holder,rus,Female,"D, Victoria (south/sud), Ontario, Canada",rus,rus,rus,rus
Mary Amo,others,Female,"E, Yamaska, Quebec, Canada",others,others,others,others
Willie Stone,ab,Male,"B, Ottawa (city/cité), Ontario, Canada",ab,,,
Viola Sheehan,others,Male,"B, Maskinongé, Quebec, Canada",others,others,others,others
Joseph Tremblay,rus,Male,"A, York, New Brunswick, Canada",rus,rus,rus,rus
Albert M. Leitch,ir,Female,"B, Northumberland (west/ouest), Ontario, Canada",ir,ir,ir,ir
Frank Taylor,others,Male,"B, Lambton (west/ouest), Ontario, Canada",others,others,others,others
Thomas Elliott,sc,Male,"H, Cumberland, Nova Scotia, Canada",sc,sc,sc,sc
Margaret Adair,ch,Male,"E, Waterloo (north/nord), Ontario, Canada",ch,ch,ch,ch
Ada Serkau,fr,Male,"A, Montréal (city/cité), Quebec, Canada",fr,fr,fr,fr
Rose Ledvry,en,Male,"E, Wentworth (south/sud), Ontario, Canada",en,en,en,en
Eugene Lauzon,fr,Male,"C, Lévis, Quebec, Canada",fr,fr,fr,fr
Philemene Delorme,ch,Female,"K, Selkirk, Manitoba, Canada",ch,ch,ch,ch
Jennett Ferguson,rus,Male,"U2, Assiniboia (east/est), The Territories, Canada",rus,rus,rus,rus
Josephine Long,en,Male,"S, Compton, Quebec, Canada",en,en,en,en
Robert M Dinsdale,fr,Female,"D, Victoria, British Columbia, Canada",fr,fr,fr,fr
John O&#39;leary,en,Female,"G, Beauharnois, Quebec, Canada",en,en,en,en
Margaret Mccallum,fr,Male,"C, New Westminster, British Columbia, Canada",fr,fr,fr,fr
Billy York,fr,Female,"D, Vaudreuil, Quebec, Canada",fr,fr,fr,fr
Sarah M Harris,rus,Female,"I, Pontiac, Quebec, Canada",rus,rus,rus,rus
Annie Jarvuis,ab,Male,"B, Bruce (east/est), Ontario, Canada",ab,inuit,inuit,inuit
Andrew Watson,ir,Male,"U, Wright, Quebec, Canada",ir,ir,ir,ir
Alice G Ames,it,Female,"M, Rimouski, Quebec, Canada",it,it,it,it
Yvonne Bastien,others,Female,"H, Waterloo (south/sud), Ontario, Canada",others,others,others,others
Donitelle Denis,rus,Female,"A1, Lunenburg, Nova Scotia, Canada",rus,rus,rus,rus
Mary Arnold,others,Male,"C, Leeds (south/sud), Ontario, Canada",others,others,others,others
Adile Chevrette,it,Male,"A, Northumberland, New Brunswick, Canada",it,it,it,it
Mary Vanatta,it,Female,"D, New Westminster, British Columbia, Canada",it,it,it,it
Jane B. Olmstead,ir,Male,"F, York (east/est), Ontario, Canada",ir,ir,ir,ir
Homer M Brown,sc,Female,"H, Brome, Quebec, Canada",sc,sc,sc,sc
Chas H Thompson,ab,Male,"C, Berthier, Quebec, Canada",ab,,,
John F. Leaky,en,Male,"B, Westmorland, New Brunswick, Canada",en,en,en,en
Elizabeth Holworthy,ja,Female,"J, Welland, Ontario, Canada",ja,ja,ja,ja
Frank E Bishop,others,Male,"A, Lanark (north/nord), Ontario, Canada",others,others,others,others
Walter Purches,fr,Male,"B, Toronto (west/ouest) (city/cité), Ontario, Canada",fr,fr,fr,fr
Eudora Simpson,en,Male,"I, Northumberland, New Brunswick, Canada",en,en,en,en
Germain Comeau,en,Female,"B, Glengarry, Ontario, Canada",en,en,en,en
Catherine A Mcdonald,sc,Male,"P, Richmond & Wolfe, Quebec, Canada",sc,sc,sc,sc
Jonner Rondeau,it,Female,"K, Renfrew (north/nord), Ontario, Canada",it,it,it,it
Emile Lalonde,others,Male,"K, Kings, New Brunswick, Canada",others,others,others,others
Annie Sinclair,it,Male,"J, Richmond & Wolfe, Quebec, Canada",it,it,it,it
Sarah Johnson,ab,Female,"C, Kent, Ontario, Canada",ab,fn,fn,fn
Wm O Crowell,ab,Female,"D, Simcoe (south/sud), Ontario, Canada",ab,fn,fn,fn
Isabella Mccombie,others,Female,"S1, Assiniboia (west/ouest), The Territories, Canada",others,others,others,others
Henry Kelly,ir,Male,"G, Perth (north/nord), Ontario, Canada",ir,ir,ir,ir
Marie Baltras,ab,Male,"A, Winnipeg (city/cité), Manitoba, Canada",ab,,,
Arthur Jeane,ch,Female,"A, Ontario (south/sud), Ontario, Canada",ch,ch,ch,ch
Mary Jane Ferguson,ab,Female,"A, Queen's (east/est), Prince Edward Island, Canada",ab,fn,fn,fn
Sarah A Beggs,others,Female,"K, Richelieu, Quebec, Canada",others,others,others,others
Napoleon Harvey,ch,Female,"F, L'islet, Quebec, Canada",ch,ch,ch,ch
Henry Kealing,rus,Female,"E, Albert, New Brunswick, Canada",rus,rus,rus,rus
A. Dan Mcleod,en,Male,"A, Toronto (centre) (city/cité), Ontario, Canada",en,en,en,en
Siproy Obonesawin,ab,Female,"K, Laprairie & Napierville, Quebec, Canada",ab,fn,fn,fn
Emily E Braime,ch,Male,"B, Maisonneuve, Quebec, Canada",ch,ch,ch,ch
Lily M. Carter,ja,Male,"B, Québec (city/cité) (east/est), Quebec, Canada",ja,ja,ja,ja
Edward Hays,rus,Male,"J, Brandon, Manitoba, Canada",rus,rus,rus,rus
Nancy Kerr,ir,Male,"B, Ontario (west/ouest), Ontario, Canada",ir,ir,ir,ir
Maria Olivier,others,Female,"X, Inverness, Nova Scotia, Canada",others,others,others,others
Lue Landry,ja,Female,"F, Victoria (south/sud), Ontario, Canada",ja,ja,ja,ja
Lucella Porter,ab,Male,", Algoma, Ontario, Canada",ab,,,
Priecille Duguay,ir,Female,"G, Lanark (south/sud), Ontario, Canada",ir,ir,ir,ir
Eunice Boutilier,it,Female,"F, Maisonneuve, Quebec, Canada",it,it,it,it
Agnes G Mclellan,it,Female,"E, Wellington (south/sud), Ontario, Canada",it,it,it,it
Sarah Ripley,ja,Male,"B, Essex (north/nord), Ontario, Canada",ja,ja,ja,ja
Anselon Chabot,ch,Female,"I, Leeds (south/sud), Ontario, Canada",ch,ch,ch,ch
Wm Nesbitt,ab,Female,"F, Lambton (west/ouest), Ontario, Canada",ab,inuit,inuit,inuit
Mary A Smith,rus,Male,"Q, Pontiac, Quebec, Canada",rus,rus,rus,rus
Frank Gerrard,sc,Female,"A, Montmorency, Quebec, Canada",sc,sc,sc,sc
Amenda Bastien,ab,Female,"D, Simcoe (south/sud), Ontario, Canada",ab,metis,metis,metis
Caroline Marley,rus,Female,"A, Simcoe (north/nord), Ontario, Canada",rus,rus,rus,rus
Mary A Weller,ja,Male,"D, Toronto (west/ouest) (city/cité), Ontario, Canada",ja,ja,ja,ja
John Anderson,en,Male,"E, Simcoe (south/sud), Ontario, Canada",en,en,en,en
James Reid,en,Female,"H, Saint-hyacinthe, Quebec, Canada",en,en,en,en
Hermine Dubue,ch,Female,"A, Montréal (city/cité), Quebec, Canada",ch,ch,ch,ch
Hance Turcotte,ir,Female,"G, Mégantic, Quebec, Canada",ir,ir,ir,ir
John Furlong,ch,Male,"M, Macdonald, Manitoba, Canada",ch,ch,ch,ch
Alice Reddy,fr,Female,"D, Victoria, British Columbia, Canada",fr,fr,fr,fr
Joseph Halter,ja,Male,"D2, Nipissing, Ontario, Canada",ja,ja,ja,ja
Leomé Aganier,others,Male,"L, Rimouski, Quebec, Canada",others,others,others,others
Madeiene Caron,ab,Female,"A, Toronto (centre) (city/cité), Ontario, Canada",ab,,,
Howard Axworthy,others,Female,"M, Algoma, Ontario, Canada",others,others,others,others
Edna Crone,ab,Female,"H, Portneuf, Quebec, Canada",ab,metis,metis,metis
Roy Teeft,ir,Male,"Q, Halifax (county/comté), Nova Scotia, Canada",ir,ir,ir,ir
Elizabeth Kelly,ch,Male,"R, Hants, Nova Scotia, Canada",ch,ch,ch,ch
Alfride Perron,it,Male,"E, Prince (west/ouest), Prince Edward Island, Canada",it,it,it,it
Ellen Lumblin,ch,Female,"G3, Assiniboia (east/est), The Territories, Canada",ch,ch,ch,ch
Rebecca Maloney,fr,Female,"J, Lanark (north/nord), Ontario, Canada",fr,fr,fr,fr
Emilia Minville,fr,Male,"N, Saint John (county/comté), New Brunswick, Canada",fr,fr,fr,fr
Herbert Stead,en,Male,"I, Bagot, Quebec, Canada",en,en,en,en
Edward Morris,fr,Female,"B, Montréal (city/cité), Quebec, Canada",fr,fr,fr,fr
Rosay Vitale,it,Male,"I, Vaudreuil, Quebec, Canada",it,it,it,it
Gilbert Cisco,ir,Female,"F, Saint John (city/cité), New Brunswick, Canada",ir,ir,ir,ir
Francis Francis,it,Male,"I, Lanark (north/nord), Ontario, Canada",it,it,it,it
Charles Dawson,sc,Female,"M1, Assiniboia (west/ouest), The Territories, Canada",sc,sc,sc,sc
Joseph Lapointe,ir,Female,"B, Québec (county/comté), Quebec, Canada",ir,ir,ir,ir
Henry W Wooding,rus,Male,"B, Norfolk (south/sud), Ontario, Canada",rus,rus,rus,rus
Floyd Frye,ab,Female,"G, Berthier, Quebec, Canada",ab,metis,metis,metis
Joseph Cloutier,fr,Female,"F, Addington, Ontario, Canada",fr,fr,fr,fr
Rebeca Lucas,others,Male,"K, Richelieu, Quebec, Canada",others,others,others,others
Geage Fick,ab,Male,"Y, Inverness, Nova Scotia, Canada",ab,inuit,inuit,inuit
Lizzie Lawson,ja,Female,"E, Gloucester, New Brunswick, Canada",ja,ja,ja,ja
David J Dulmage,ch,Male,"B, Québec (county/comté), Quebec, Canada",ch,ch,ch,ch
Winnifred Lanthier,ja,Male,"B(3), Inverness, Nova Scotia, Canada",ja,ja,ja,ja
Frances Floud,ir,Female,"T1, Nipissing, Ontario, Canada",ir,ir,ir,ir
Catheri Mackenzie,rus,Female,"H, L'islet, Quebec, Canada",rus,rus,rus,rus
Thomas Keck,it,Male,"Q2, Assiniboia (west/ouest), The Territories, Canada",it,it,it,it
Edna I Whitesides,others,Male,"N3, Assiniboia (east/est), The Territories, Canada",others,others,others,others
Karen L Moraw,others,Male,"C, Kent, Ontario, Canada",others,others,others,others
Frank Anderson,ab,Female,"B, Québec (city/cité) (east/est), Quebec, Canada",ab,,,
Georgiana Deroy,ab,Female,"B, Hamilton (city/cité), Ontario, Canada",ab,,,
George Murray,ja,Female,"F2, Alberta, The Territories, Canada",ja,ja,ja,ja
Ernest Willie,ab,Male,"B, London (city/cité), Ontario, Canada",ab,inuit,inuit,inuit
William J. Walker,ab,Female,"H, Carleton, Ontario, Canada",ab,inuit,inuit,inuit
Anna Victoria Stephson,en,Female,"B, Québec (county/comté), Quebec, Canada",en,en,en,en
John R. Obrien,others,Male,"B, Oxford (north/nord), Ontario, Canada",others,others,others,others
Margret Wilston,it,Female,"D, Pictou, Nova Scotia, Canada",it,it,it,it
Tsaie Gorge,it,Male,"B, Gloucester, New Brunswick, Canada",it,it,it,it
Sam Stdefroy,ja,Male,"E, Hamilton (city/cité), Ontario, Canada",ja,ja,ja,ja
Orilla Wright,rus,Female,"Q, Drummond & Arthabaska, Quebec, Canada",rus,rus,rus,rus
Théophil Meise,it,Female,"B(1), Pictou, Nova Scotia, Canada",it,it,it,it
Gladys H Siddeley,ir,Female,"B, Wright, Quebec, Canada",ir,ir,ir,ir
Jacob Boese,ch,Female,"U, Yarmouth, Nova Scotia, Canada",ch,ch,ch,ch
Charity Grant,ja,Female,"F, Lambton (west/ouest), Ontario, Canada",ja,ja,ja,ja
William Sichlestes,others,Female,"F, Middlesex (east/est), Ontario, Canada",others,others,others,others
Marget Baxter,rus,Female,"A, Montréal (city/cité), Quebec, Canada",rus,rus,rus,rus
John A Ross,others,Male,"D, London (city/cité), Ontario, Canada",others,others,others,others
Russel M Graham,ch,Female,"E, York (west/ouest), Ontario, Canada",ch,ch,ch,ch
Zephire Giroux,sc,Female,"E, Brant (south/sud), Ontario, Canada",sc,sc,sc,sc
Louis Jonies,fr,Female,"R4, Alberta, The Territories, Canada",fr,fr,fr,fr
Fléoenas Cauchon,others,Male,"S, Alberta, The Territories, Canada",others,others,others,others
Irene Collins,en,Male,"D, Northumberland, New Brunswick, Canada",en,en,en,en
Minnie Lee,others,Female,"G, Victoria, Nova Scotia, Canada",others,others,others,others
Joseph Bisonette,ir,Female,"A, Prince (east/est), Prince Edward Island, Canada",ir,ir,ir,ir
William J. S. Ladlaw,ja,Female,"D, Burrard, British Columbia, Canada",ja,ja,ja,ja
Alderic Gascon,it,Female,"Y2, Assiniboia (east/est), The Territories, Canada",it,it,it,it
Blanch Trickey,sc,Female,"C, Grey (east/est), Ontario, Canada",sc,sc,sc,sc
Agnes B Ferner,ja,Female,"I, Bonaventure, Quebec, Canada",ja,ja,ja,ja
Eugene Ruelle,others,Male,"B, Lambton (west/ouest), Ontario, Canada",others,others,others,others
Leslie Rase,rus,Male,"A, Prince (east/est), Prince Edward Island, Canada",rus,rus,rus,rus
Martin Mcdugal,rus,Male,"H, Northumberland (east/est), Ontario, Canada",rus,rus,rus,rus
Carrie Freematele,sc,Female,"Q3, Alberta, The Territories, Canada",sc,sc,sc,sc
Elgin Jackman,ab,Male,"G, Grey (east/est), Ontario, Canada",ab,,,
Bael C Trites,sc,Female,"L, Wright, Quebec, Canada",sc,sc,sc,sc
Leslie Norris,fr,Female,"E, Northumberland, New Brunswick, Canada",fr,fr,fr,fr
Norman Mcghee,ch,Male,"P, Kings, Prince Edward Island, Canada",ch,ch,ch,ch
Marie Santerre,ja,Male,"W, Saskatchewan, The Territories, Canada",ja,ja,ja,ja
Regis Crevier,others,Male,"E, Ottawa (city/cité), Ontario, Canada",others,others,others,others
Norman Short,sc,Male,"5, Burrard, British Columbia, Canada",sc,sc,sc,sc
Marie Corbeil,sc,Male,"M, Compton, Quebec, Canada",sc,sc,sc,sc
Edwa Mcdonald,others,Female,"E, Lambton (west/ouest), Ontario, Canada",others,others,others,others
Addie Levy,ja,Female,"E, Halifax (city/cité), Nova Scotia, Canada",ja,ja,ja,ja
Adet Dube,ch,Male,"M, Hastings (north/nord), Ontario, Canada",ch,ch,ch,ch
Hormidas Thibodeau,sc,Female,"G, Argenteuil, Quebec, Canada",sc,sc,sc,sc
George Tagg,ja,Female,"D, Halifax (city/cité), Nova Scotia, Canada",ja,ja,ja,ja
John Reid,en,Male,"L, Beauce, Quebec, Canada",en,en,en,en
V. Norman Cole,ab,Female,"E, Simcoe (south/sud), Ontario, Canada",ab,fn,fn,fn
Hazel Gowans,rus,Male,"F, Renfrew (north/nord), Ontario, Canada",rus,rus,rus,rus
Nopolion Latranise,en,Male,"F, Bruce (west/ouest), Ontario, Canada",en,en,en,en
George Stewart,ch,Female,"J, Digby, Nova Scotia, Canada",ch,ch,ch,ch
B Martha Steuart,ja,Female,"B, Oxford (south/sud), Ontario, Canada",ja,ja,ja,ja
Eva Cooper,ja,Male,"B, Maisonneuve, Quebec, Canada",ja,ja,ja,ja
James A Carrothers,rus,Male,"H, Hants, Nova Scotia, Canada",rus,rus,rus,rus
Mary E. Bolton,others,Female,"A, Huron (west/ouest), Ontario, Canada",others,others,others,others
Marie Lavoie,fr,Male,"L, Lévis, Quebec, Canada",fr,fr,fr,fr
James Pickwell,ir,Male,"K, Lincoln & Niagara, Ontario, Canada",ir,ir,ir,ir
John Bertholette,sc,Female,"F, Vaudreuil, Quebec, Canada",sc,sc,sc,sc
Robert M A Ferguson,fr,Female,"E, Leeds (south/sud), Ontario, Canada",fr,fr,fr,fr
Nellie Jodry,fr,Female,"A, Hants, Nova Scotia, Canada",fr,fr,fr,fr
John Quigly,sc,Female,"E, Provencher, Manitoba, Canada",sc,sc,sc,sc
Domitile Dugas,sc,Female,"E, Mégantic, Quebec, Canada",sc,sc,sc,sc
Edward Hianveu,rus,Female,"B, Toronto (west/ouest) (city/cité), Ontario, Canada",rus,rus,rus,rus
Guillaume Lavigne,ch,Female,"N, Saint John (county/comté), New Brunswick, Canada",ch,ch,ch,ch
Blanche Mallette,ch,Female,"D, Selkirk, Manitoba, Canada",ch,ch,ch,ch
Clarenda Bedore,en,Female,"F, Unorganized Territories/territoires Non-organisés, The Territories, Canada",en,en,en,en
Maud Merrick,sc,Male,"J, Macdonald, Manitoba, Canada",sc,sc,sc,sc
Ellen Mckay,ir,Female,"C, Beauharnois, Quebec, Canada",ir,ir,ir,ir
John H Henderson,rus,Female,"D, Lambton (west/ouest), Ontario, Canada",rus,rus,rus,rus
Roselda Clement,sc,Female,"J, Gaspé, Quebec, Canada",sc,sc,sc,sc
William Jackson,it,Male,"H, Queen's (west/ouest), Prince Edward Island, Canada",it,it,it,it
Charles W Marsh,rus,Male,"A, London (city/cité), Ontario, Canada",rus,rus,rus,rus
Martha Reaman,ab,Female,"A, Montréal (city/cité), Quebec, Canada",ab,metis,metis,metis
Ada Dodge,ja,Female,"I, Lanark (north/nord), Ontario, Canada",ja,ja,ja,ja
Francis M Stogdale,ja,Female,"G, Ottawa (city/cité), Ontario, Canada",ja,ja,ja,ja
Myrlte Richardson,others,Female,"B, Elgin (west/ouest), Ontario, Canada",others,others,others,others
Alberter Heilderly,ja,Female,"F, Grey (south/sud), Ontario, Canada",ja,ja,ja,ja
Ruby E. Cross,ab,Female,"S, Jacques-cartier, Quebec, Canada",ab,fn,fn,fn
"list index out of range, [error link] https://familysearch.org/pal:/MM9.1.1/KHVL-VDP",ch,Female,"B, Halifax (city/cité), Nova Scotia, Canada",ch,ch,ch,ch
Jo Hanah Coughlin,fr,Male,"G, Lanark (south/sud), Ontario, Canada",fr,fr,fr,fr
William Messeivey,ir,Male,"F, Shelburne & Queens (shelburne), Nova Scotia, Canada",ir,ir,ir,ir
J Baptiste Garon,others,Female,"D, Richmond & Wolfe, Quebec, Canada",others,others,others,others
Gladys R Gurney,sc,Female,"A, Montréal (city/cité), Quebec, Canada",sc,sc,sc,sc
Alphonsine Stgermain,ja,Male,"L, Lévis, Quebec, Canada",ja,ja,ja,ja
Leslie G Murray,rus,Male,"B, Northumberland (west/ouest), Ontario, Canada",rus,rus,rus,rus
Francis Livingston,others,Female,"D, Victoria, British Columbia, Canada",others,others,others,others
John R. White,others,Female,"E, Berthier, Quebec, Canada",others,others,others,others
Elodie Marcille,ja,Male,"K, Rouville, Quebec, Canada",ja,ja,ja,ja
James J Gilles,fr,Male,"I, Bellechasse, Quebec, Canada",fr,fr,fr,fr
Servanda Gantier,ab,Female,"A, Brandon, Manitoba, Canada",ab,metis,metis,metis
Arthur Speron,it,Male,"F, Unorganized Territories/territoires Non-organisés, The Territories, Canada",it,it,it,it
Luce Buckles,ja,Female,"D, Toronto (west/ouest) (city/cité), Ontario, Canada",ja,ja,ja,ja
Voilet Butler,en,Female,"A, Montréal (city/cité), Quebec, Canada",en,en,en,en
Nellie L Purves,ab,Female,"E, Essex (south/sud), Ontario, Canada",ab,,,
Nap Gendron,fr,Male,"H, Châteauguay, Quebec, Canada",fr,fr,fr,fr
Margret Campbell,rus,Male,"D, Huntingdon, Quebec, Canada",rus,rus,rus,rus
John R Hunter,it,Male,"B, Ottawa (city/cité), Ontario, Canada",it,it,it,it
Hirman Pruce,it,Male,"F, Bagot, Quebec, Canada",it,it,it,it
Lizzie Oliver,ja,Female,"E, Halton, Ontario, Canada",ja,ja,ja,ja
P Blanche Lavin,ja,Male,"M, Temiscouata, Quebec, Canada",ja,ja,ja,ja
Ovila Brosseau,ir,Female,"D, Haldimand & Monck, Ontario, Canada",ir,ir,ir,ir
Leavea Edward,others,Female,"I, Renfrew (south/sud), Ontario, Canada",others,others,others,others
J B Gunning,sc,Male,"B, Lambton (east/est), Ontario, Canada",sc,sc,sc,sc
Bertie S Benson,ja,Male,"A, Montréal (city/cité), Quebec, Canada",ja,ja,ja,ja
Maneuel Brown,ab,Female,"N, Sunbury & Queens, New Brunswick, Canada",ab,inuit,inuit,inuit
Cècil Burch,it,Female,"A, Hastings (west/ouest), Ontario, Canada",it,it,it,it
Sarah E Alexander,it,Male,"A, Ontario (south/sud), Ontario, Canada",it,it,it,it
Thomas Benoit,others,Male,"G, Westmorland, New Brunswick, Canada",others,others,others,others
Marie Collin,rus,Female,"H3, Alberta, The Territories, Canada",rus,rus,rus,rus
Joan Mckinnon,ja,Female,"A, Perth (south/sud), Ontario, Canada",ja,ja,ja,ja
Mcjessie Kay,ab,Female,"B, Toronto (west/ouest) (city/cité), Ontario, Canada",ab,,,
Albert Jutine,others,Female,"P, York, New Brunswick, Canada",others,others,others,others
Marie L. Dussault,en,Male,"O, Addington, Ontario, Canada",en,en,en,en
Augusta Howell,others,Male,"G, Leeds (south/sud), Ontario, Canada",others,others,others,others
Alice J Oreilly,ch,Female,"F, Brandon, Manitoba, Canada",ch,ch,ch,ch
Marie Jabin,en,Female,"M, Hastings (north/nord), Ontario, Canada",en,en,en,en
Georgeline Guerin,ab,Male,"Q, Brandon, Manitoba, Canada",ab,fn,fn,fn
Bridget Carney,ir,Female,"D, Bruce (west/ouest), Ontario, Canada",ir,ir,ir,ir
Arthur Way,fr,Female,"I, York (west/ouest), Ontario, Canada",fr,fr,fr,fr
Louis Grub,sc,Female,"C, Hants, Nova Scotia, Canada",sc,sc,sc,sc
Mary L Arnold,others,Female,,others,others,others,others
Trifflé Paquette,fr,Female,"L, Argenteuil, Quebec, Canada",fr,fr,fr,fr
Cécilia Kingsburry,en,Male,"C2, Assiniboia (west/ouest), The Territories, Canada",en,en,en,en
Mary V Bumham,sc,Male,"A, Unorganized Territories/territoires Non-organisés, The Territories, Canada",sc,sc,sc,sc
Napoleon Veilleux,ir,Female,"C, Westmorland, New Brunswick, Canada",ir,ir,ir,ir
Salvina Reaume,ja,Male,"B, Labelle, Quebec, Canada",ja,ja,ja,ja
Onesime A Matton,others,Male,"A, Wentworth (south/sud), Ontario, Canada",others,others,others,others
Dugas Mcdays,sc,Male,"I, Lisgar, Manitoba, Canada",sc,sc,sc,sc
Oscar J Rockel,ja,Male,"C, Grenville (south/sud), Ontario, Canada",ja,ja,ja,ja
Anne Morrison,sc,Male,"K, Saint-hyacinthe, Quebec, Canada",sc,sc,sc,sc
Marie Dugas,fr,Male,"G, Chambly & Verchères, Quebec, Canada",fr,fr,fr,fr
Robert Mckeand,it,Male,"A, Québec (county/comté), Quebec, Canada",it,it,it,it
Cesil Mccaul,ab,Male,"H, Victoria, New Brunswick, Canada",ab,inuit,inuit,inuit
Eva Dubois,it,Male,"A, Toronto (centre) (city/cité), Ontario, Canada",it,it,it,it
Nathan Merrom,ch,Male,"F, Queen's (west/ouest), Prince Edward Island, Canada",ch,ch,ch,ch
Robter W Haighter,ch,Male,"E, Waterloo (north/nord), Ontario, Canada",ch,ch,ch,ch
Ellenor Williamson,ja,Female,"E, Lambton (west/ouest), Ontario, Canada",ja,ja,ja,ja
Henry U Thomson,others,Female,"B, Guysborough, Nova Scotia, Canada",others,others,others,others
Alphouse Mongeau,rus,Female,"J, Kings, New Brunswick, Canada",rus,rus,rus,rus
John Lundy,ch,Male,"U, Cumberland, Nova Scotia, Canada",ch,ch,ch,ch
Mary Mcdonald,others,Male,"D, Québec (county/comté), Quebec, Canada",others,others,others,others
Ellen Reaume,ab,Male,"L, Richmond & Wolfe, Quebec, Canada",ab,inuit,inuit,inuit
William Green,ir,Male,"B, Kings, Prince Edward Island, Canada",ir,ir,ir,ir
James S Mcbride,others,Male,"A, Grey (north/nord), Ontario, Canada",others,others,others,others
George Murray,sc,Female,"A, Jacques-cartier, Quebec, Canada",sc,sc,sc,sc
Richard K Davis,en,Male,"G, Marquette, Manitoba, Canada",en,en,en,en
Margret Stephenson,ir,Male,"E, Elgin (east/est), Ontario, Canada",ir,ir,ir,ir
Catherine Marton,ja,Female,"D, Kent, Ontario, Canada",ja,ja,ja,ja
"'facts', [error link] https://familysearch.org/pal:/MM9.1.1/KHL6-ZLV",ab,Female,"F, Perth (north/nord), Ontario, Canada",ab,metis,metis,metis
Berwick Sherriff,ch,Female,"G, Queen's (east/est), Prince Edward Island, Canada",ch,ch,ch,ch
Marshall Gass,sc,Female,"A, Wentworth & Brant (north/nord), Ontario, Canada",sc,sc,sc,sc
Alfred Frenette,others,Male,"C, Gloucester, New Brunswick, Canada",others,others,others,others
Marie Gon Tanyon,it,Male,"L, Chambly & Verchères, Quebec, Canada",it,it,it,it
Arthur Lyle,en,Female,"A, Norfolk (north/nord), Ontario, Canada",en,en,en,en
Louis Hébert,sc,Male,"D, Waterloo (north/nord), Ontario, Canada",sc,sc,sc,sc
Ellen J Sabourin,it,Female,"I, Cape Breton, Nova Scotia, Canada",it,it,it,it
Adélaide Fortier,ja,Male,"Z, Chicoutimi & Saguenay, Quebec, Canada",ja,ja,ja,ja
F. Annie Mills,ir,Female,"Z, Marquette, Manitoba, Canada",ir,ir,ir,ir
Artensia Morin,rus,Male,", Saskatchewan, The Territories, Canada",rus,rus,rus,rus
Lulu B Morrison,ir,Female,"L2, Algoma, Ontario, Canada",ir,ir,ir,ir
Alberthine Parive,it,Female,"T, Peterborough (east/est), Ontario, Canada",it,it,it,it
Albert Cook,ir,Female,"E, Sherbrooke, Quebec, Canada",ir,ir,ir,ir
Lèon Plante,fr,Male,"K, Yale & Cariboo, British Columbia, Canada",fr,fr,fr,fr
Kenneth Mcdonald,ja,Female,"F, Waterloo (south/sud), Ontario, Canada",ja,ja,ja,ja
Récina Gagné,fr,Male,"C, Frontenac, Ontario, Canada",fr,fr,fr,fr
Maggie Whight,ja,Female,"G, Hamilton (city/cité), Ontario, Canada",ja,ja,ja,ja
Rober H Byers,fr,Male,"X, Temiscouata, Quebec, Canada",fr,fr,fr,fr
Elisbeth Doherty,rus,Male,"I(1), Chicoutimi & Saguenay, Quebec, Canada",rus,rus,rus,rus
Hilda Lavie,ch,Male,"A, Cornwall & Stormont, Ontario, Canada",ch,ch,ch,ch
Exavier Lapine,sc,Male,"N, York, New Brunswick, Canada",sc,sc,sc,sc
Marguerite Breault,it,Female,"J, York (west/ouest), Ontario, Canada",it,it,it,it
Susannah J Saunders,en,Female,"J, Kent, New Brunswick, Canada",en,en,en,en
Charles Jeffs,sc,Male,"T, Guysborough, Nova Scotia, Canada",sc,sc,sc,sc
Ellen J Robinson,others,Female,"B, Russell, Ontario, Canada",others,others,others,others
Thomas W Barton,ja,Male,"U, Lunenburg, Nova Scotia, Canada",ja,ja,ja,ja
Janbatiste Boucher,rus,Female,"C, Wentworth (south/sud), Ontario, Canada",rus,rus,rus,rus
Fred Misener,ab,Female,"F1, Drummond & Arthabaska, Quebec, Canada",ab,,,
Sienna Lagassè,ir,Female,"L, Essex (north/nord), Ontario, Canada",ir,ir,ir,ir
David Stokes,ir,Female,"X, Rimouski, Quebec, Canada",ir,ir,ir,ir
